tc,area,pop,pden,wden,urb,paper,glass,metal,plastic,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill
248.8800049,51.40000153,92659,1802.704224,881934.75,1,14.33877206,9.564991173,1.471938421,6.895658837,33943418,11388030,45331448,74.88,3,403,0,16.86346436
179.1000061,23.11000061,23816,1030.549561,566089.9375,2,11.20426554,7.477409047,0.605434548,6.857451103,9196129,3886210,13082339,70.29,1,125,0,37.24168015
225.0399933,104.7099991,157052,1499.875854,780621.125,1,11.79130048,6.669041466,0.919451534,5.01631917,55899873,25838965,81738838,68.39,2,453.4200134,12.07579041,31.49303818
216.0200043,273.1300049,69241,253.5093079,113379.8359,1,11.45680902,6.905447387,0.495133017,5.712587894,17821786,13145650,30967436,57.55,1,243,0,76.68603516
129.0599976,78.87999725,40646,515.2890625,255585.6406,2,15.06642041,13.1598001,2.190728994,3.810457975,17199525,2961070,20160595,85.31,3,235,9.898176193,11.29678535
313.3900146,22.35000038,12252,548.1879272,596842.5,2,10.41680192,6.912244376,0.64514001,6.25334066,11317720,2021710,13339430,84.84,3,103,33.10504913,15.23353004
239.1000061,22.70999908,2368,104.2712479,46251.125,3,11.84999852,8.285706941,0.751740113,5.274176642,791383,258980,1050363,75.34,3,58,33.10504913,15.23353004
109.5800018,70.01999664,6453,92.15938568,37357.76953,3,13.45501227,8.440659059,2.762376658,7.922880689,2022581,593210,2615791,77.32,3,10,9.898176193,11.29678535
130.9499969,65.11000061,3175,48.76362991,18647.62695,3,11.84535316,8.105525937,1.699629452,8.111867838,1042387,171760,1214147,85.85,3,63,9.898176193,11.29678535
225.7899933,126.6399994,12185,96.21762848,47462.80859,2,9.690884075,8.22734162,1.321329165,4.708028529,4795180,1215510,6010690,79.78,3,270,33.10504913,15.23353004
150.8600006,13.85000038,13022,940.2165527,437804.0313,2,9.941476875,8.84740482,1.493505658,6.916039453,3931654,1929173,5860827,67.08,3,60,17.46755028,4.897195816
291.3800049,18.17000008,18591,1023.170044,911072.625,2,9.833546673,7.155880173,0.582021833,5.470717685,11048902,5505288,16554190,66.74,3,143,33.10504913,15.23353004
237,169.2700043,12389,73.19075775,38016.12891,2,10.49729681,8.314636076,0.698462624,4.963286656,4934350,1500640,6434990,76.68,3,142,33.10504913,15.23353004
318.1400146,226.8099976,14705,64.83399963,50266.29297,3,6.232158204,2.637458909,0.415554985,1.772693695,2312127,9061701,11373828,20.33,2,305,12.07579041,31.49303818
118.3600006,18.79999924,3400,180.8510742,77226.70313,3,11.44530265,9.896257358,3.248380356,6.361899409,1173232,278630,1451862,80.81,3,45,9.898176193,11.29678535
113.5199966,87.58999634,6936,79.18712616,31283.4707,2,11.29790349,9.560022758,1.699853182,7.674301737,2228940,511179,2740119,81.34,3,68,9.898176193,11.29678535
101.9499969,23.61000061,10342,438.034729,149211.6406,2,12.33652967,9.176536176,1.539248917,7.867751648,2905196,617691,3522887,82.47,3,126,9.898176193,11.29678535
346.8800049,9.880000114,8880,898.7854004,819888.125,2,10.00889452,8.665766722,0.869699938,5.726662383,5537645,2562850,8100495,68.36,3,48,0,16.86346436
171.4299927,653.8099976,153740,235.1447601,177277.9063,1,9.799096719,5.396418795,0.659973195,4.71397223,68817976,46991425,115809401,59.42,3,1000,33.10504913,15.23353004
122.6500015,112.0999985,13812,123.2114182,61535.99609,3,10.83995283,10.32631047,1.939524672,6.043792679,3957465,2940720,6898185,57.37,2,137,11.05105972,11.28596973
128.8300018,3.849999905,2771,719.7402954,411156.125,2,11.35107783,7.569912145,0.897753626,6.306006945,1153661,405000,1558661,74.02,1,16,0,42.47533035
265.1700134,38.11000061,14631,383.914978,245161.7188,2,8.587715893,6.213132604,0.847265788,0.392545825,6306673,3036440,9343113,67.5,1,83,0,37.24168015
648.5700073,209.1000061,7076,33.84026718,60480.75,3,5.341759891,3.04888497,0.599295063,2.166152362,4628995,8017530,12646525,36.6,2,341,12.07579041,31.49303818
389.6300049,9.56000042,5353,559.9371948,356799.0313,2,10.11023457,10.12401352,2.853152405,3.90947051,2487749,923250,3410999,72.93,3,29,0,16.86346436
173.0800018,311.6600037,22133,71.01649475,45839.22656,3,12.60244376,5.367677585,0.529670026,7.042644422,9713693,4572560,14286253,67.99,3,553,33.10504913,15.23353004
112.7699966,26.61000061,6465,242.9537659,105445.9219,3,14.31439858,6.672580362,2.715369954,6.980109169,2431856,374060,2805916,86.67,3,136,9.898176193,11.29678535
122.7600021,44.86999893,11518,256.6971436,108644.1719,2,11.08256559,10.73738673,1.910145596,3.126959029,3854074,1020790,4874864,79.06,3,53,9.898176193,11.29678535
221.4400024,25.40999985,46963,1848.209351,1322018.5,2,10.20433436,1.559634311,0.452145703,8.628098126,21384060,12208430,33592490,63.66,2,230,0,42.47533035
330.4299927,56.04999924,21479,383.2114258,312248.4375,2,8.525291367,3.882833067,1.054056718,2.07007675,9643900,7857625,17501525,55.1,2,118,12.07579041,31.49303818
122.5400009,140.4400024,14816,105.4970093,43037.60938,2,12.59157123,12.41172946,2.038780305,3.46798469,4470292,1573910,6044202,73.96,3,24,9.898176193,11.29678535
175.5899963,17.34000015,5378,310.1499329,253811.6406,2,7.329086813,2.672062901,0.352389656,6.695403461,3117524,1283570,4401094,70.84,2,80,0,42.47533035
133.7899933,25.54999924,16215,634.6380005,352845.25,2,15.4169693,7.198822965,1.706074943,6.826662449,7184796,1830400,9015196,79.7,3,93,9.898176193,11.29678535
440.230011,48.02999878,11641,242.3693542,207834.9375,2,16.51604358,8.334041252,2.256491282,5.953911278,7558292,2424020,9982312,75.72,2,151,12.07579041,31.49303818
161.5700073,18.12999916,25324,1396.800903,706657.625,2,13.19379736,8.29874126,1.081792255,4.299038488,8536382,3750980,12287362,69.47,1,145,0,42.47533035
370.4899902,59.84999847,132608,2215.672607,1043331.313,1,9.167377204,7.034212659,0.641714162,3.875104258,37214538,25228840,62443378,59.6,1,2625,27.87697983,3.602712631
293.980011,13.47999954,11563,857.7893677,665095.5625,2,11.48858824,8.434565971,0.930010726,7.649109563,5978338,2987150,8965488,66.68,3,62,0,16.86346436
221.9199982,65.31999969,60661,928.6741943,506468.8125,1,10.34072896,6.722575913,0.982412416,4.129519431,14484152,18598390,33082542,43.78,3,180,0,16.86346436
307.9500122,185.0700073,85858,463.9217529,361361.5313,1,11.47430789,6.396812402,1.021897094,4.525500057,41321114,25556070,66877184,61.79,2,426,12.07579041,31.49303818
109.6500015,21.29999924,12920,606.5728149,223376.9531,2,11.5722618,9.061568594,1.673627328,7.690867182,3825964,931965,4757929,80.41,3,41,9.898176193,11.29678535
412.6400146,15.60999966,2890,185.1377411,148638.0625,3,8.850377547,8.794650553,2.151242975,5.358928387,1285162,1034950,2320112,55.39,3,72,0,16.86346436
207.6799927,34.33000183,117166,3412.933105,2023732.375,1,10.7428407,4.017028694,0.864134291,3.665505218,32623734,36851000,69474734,46.96,1,800,0,37.24168015
100.4700012,22.27000046,2468,110.8217316,38511.80859,3,11.65849325,8.076645936,3.401355785,7.572832061,661408,196250,857658,77.12,3,50,9.898176193,11.29678535
141.9900055,28.32999992,8199,289.4105225,140118.1719,2,11.77111349,6.586165478,1.852074846,7.350181935,3180668,788880,3969548,80.13,3,56,9.898176193,11.29678535
107.6299973,34.54999924,3008,87.06223297,45497.33984,3,8.215680948,7.559482497,1.113279001,6.657726506,995769,536188,1531957,65,3,43,17.46755028,4.897195816
124.9800034,2.529999971,453,179.0513916,261650.2031,3,12.701386,22.76521017,0.901846746,6.897541448,475875,186100,661975,71.89,3,4,0,16.86346436
97.45999908,28.36000061,2881,101.5867386,49101.41016,3,8.811029819,7.496143671,1.065696911,5.852715516,914066,452909,1366975,66.87,3,21,17.46755028,4.897195816
310.4400024,84.52999878,7493,88.64308929,45446.88281,3,11.3103179,14.59694791,2.738164188,7.582728663,2726445,1115180,3841625,70.97,1,228,0,76.68603516
221.8000031,36.58000183,23576,644.505188,421357,2,10.49367946,7.195845909,1.343358048,6.811137697,9220770,6192470,15413240,59.82,3,190,0,16.86346436
234.1000061,9.770000458,10106,1034.390991,543109.5,2,15.63836885,9.578661108,2.142803297,4.56460203,3648540,1657640,5306180,68.76,3,125,0,16.86346436
198.7400055,12.22999954,27338,2235.322998,1040446.813,2,18.40637992,10.0434872,0.36370312,8.552681627,8537584,4187080,12724664,67.09,3,80,0,16.86346436
185.4799957,104.5100021,22391,214.2474365,89140.05469,2,12.29172049,10.08938682,1.043685253,10.3399228,6969857,1919440,8889297,78.41,1,81,8.904969215,39.5241394
115.2300034,12.34000015,2191,177.5526733,80723.57813,3,14.10068375,7.331881714,1.973740349,6.403889456,729549,266580,996129,73.24,3,24,9.898176193,11.29678535
326.8800049,82.26999664,28896,351.2337646,438983.25,2,7.579711008,6.036306093,0.467380033,4.533396649,18152590,17962560,36115150,50.26,3,270,33.10504913,15.23353004
230.5500031,117.4100037,315933,2690.852539,1612796.375,1,18.07764407,4.627774428,0.31004165,2.928604235,81775330,107583100,189358430,43.19,1,1120,4.046452045,45.41190338
206.4499969,33.61999893,29226,869.3040161,496912.3125,2,12.70289559,8.786539074,1.785852921,5.523389503,9380961,7325230,16706191,56.15,3,99,0,16.86346436
245.1199951,53.27000046,24940,468.1809692,223881.6719,2,12.96257803,9.296944025,1.118162174,4.73068612,8461257,3464920,11926177,70.95,1,350,0,37.24168015
